RIAGENDR,DMDEDUC2,AUQ300,DMDHRAGE
1,3,2,50
2,NA,NA,24
1,NA,NA,42
2,4,1,52
2,NA,NA,33
1,NA,NA,44
1,NA,NA,43
1,3,2,51
1,NA,NA,38
1,NA,NA,43
2,3,2,43
2,NA,NA,33
1,5,NA,80
1,NA,NA,25
2,5,2,34
1,3,2,61
1,3,NA,80
1,5,1,55
1,5,1,35
1,NA,NA,36
1,5,NA,75
1,NA,NA,41
1,3,1,62
1,NA,NA,45
2,NA,NA,38
2,NA,NA,38
1,NA,NA,40
2,4,2,30
2,NA,NA,43
1,3,NA,71
2,NA,NA,45
1,NA,NA,38
2,NA,NA,43
1,4,2,21
1,NA,NA,55
2,NA,NA,44
1,NA,NA,32
1,5,2,57
1,5,2,42
2,2,2,32
1,2,1,36
1,NA,NA,49
2,NA,NA,48
1,5,1,53
2,4,2,35
1,4,1,37
2,1,2,40
1,NA,NA,52
2,1,2,66
2,NA,NA,56
1,NA,NA,48
2,3,2,53
2,4,2,80
2,1,NA,77
2,4,2,18
2,NA,NA,48
2,5,2,31
2,5,2,41
1,5,1,30
1,3,2,54
2,1,2,35
2,NA,NA,43
1,4,NA,79
1,NA,NA,53
1,5,1,50
2,5,2,30
1,1,NA,70
2,3,2,19
2,4,1,42
2,2,2,63
1,4,2,57
2,NA,NA,35
1,4,2,61
2,5,2,58
2,3,2,24
2,NA,NA,45
1,NA,NA,34
1,5,1,50
2,NA,NA,34
1,NA,NA,32
1,NA,NA,44
1,1,2,24
2,5,2,26
1,5,1,34
2,4,2,59
2,NA,NA,30
1,NA,NA,42
1,NA,NA,32
1,3,1,65
1,1,NA,79
2,NA,NA,39
1,1,2,47
1,4,1,59
1,NA,NA,46
1,4,2,46
1,NA,NA,38
1,2,NA,77
1,4,1,52
1,5,1,52
2,4,1,39
2,NA,NA,37
1,2,1,27
2,5,2,49
1,NA,NA,53
1,NA,NA,60
2,NA,NA,51
1,NA,NA,37
2,5,2,41
1,NA,NA,42
2,4,2,55
2,4,NA,72
1,2,NA,80
2,4,2,54
2,NA,NA,35
2,5,2,80
1,NA,NA,55
2,5,2,63
2,NA,NA,51
1,3,2,51
2,4,NA,79
1,4,1,27
1,2,NA,71
2,NA,NA,22
1,4,1,56
1,5,NA,80
1,4,1,67
1,NA,NA,33
2,2,2,69
1,NA,NA,51
1,4,1,43
1,NA,NA,50
1,NA,NA,54
2,NA,NA,37
1,2,2,59
2,1,2,46
2,3,NA,80
2,NA,NA,39
1,NA,NA,48
1,3,2,80
2,3,NA,79
2,2,2,31
2,NA,NA,27
1,NA,NA,54
2,1,2,66
1,NA,NA,44
1,3,1,61
2,2,NA,80
1,2,1,37
1,5,1,46
2,NA,NA,19
2,4,1,64
2,NA,NA,50
2,NA,NA,25
2,NA,NA,22
2,4,2,35
2,3,2,56
1,5,2,56
2,NA,NA,63
2,NA,NA,47
1,NA,NA,32
2,5,2,33
1,NA,NA,43
1,4,2,22
2,3,2,53
1,NA,NA,38
1,NA,NA,49
1,4,2,56
2,NA,NA,37
2,NA,NA,19
1,4,1,29
1,4,1,44
1,NA,NA,28
2,4,1,41
1,4,2,50
2,5,2,32
2,5,1,36
1,NA,NA,19
2,3,NA,71
2,NA,NA,38
2,4,2,23
2,3,1,43
1,NA,NA,30
2,NA,NA,58
1,5,NA,79
2,NA,NA,43
2,NA,NA,45
2,NA,NA,33
1,4,1,36
2,1,2,37
1,NA,NA,37
1,NA,NA,26
2,NA,NA,60
2,2,2,67
2,NA,NA,40
2,4,2,46
1,3,NA,80
1,2,1,50
2,1,NA,80
2,NA,NA,37
1,4,2,54
1,5,2,33
2,4,2,59
1,1,2,48
2,4,1,31
1,3,1,20
1,NA,NA,35
2,2,NA,78
2,1,2,68
