Parent,Child,Sex
65.04851,59.77827,Male
63.25094,63.21404,Male
64.95532,63.34242,Male
65.7525,62.79238,Male
61.13723,64.28113,Male
63.02254,64.24221,Male
65.37053,64.08231,Male
64.72398,63.99574,Male
66.06509,64.61338,Male
66.96738,63.97944,Male
59.008,65.24451,Male
62.93203,65.35102,Male
63.67063,65.67992,Male
64.07386,65.43664,Male
64.68851,65.29391,Male
65.15466,64.79017,Male
66.37353,65.01881,Male
65.57704,65.5464,Male
67.36765,65.08145,Male
66.75929,65.49008,Male
67.79764,65.1352,Male
69.5348,65.51262,Male
62.54014,66.58436,Male
63.81016,66.37842,Male
64.4565,66.14782,Male
64.9665,65.97259,Male
64.70662,65.95887,Male
65.73829,66.45202,Male
65.50141,65.74797,Male
65.55416,65.97164,Male
66.90294,65.90548,Male
66.57388,65.90773,Male
66.53198,66.47103,Male
67.90613,65.75023,Male
68.29198,66.34666,Male
67.74123,66.08577,Male
68.46917,66.28037,Male
69.38327,66.34354,Male
71.81791,66.41711,Male
62.41615,67.22558,Male
64.49083,67.46394,Male
64.4876,66.99362,Male
63.92303,66.76647,Male
65.44592,67.0342,Male
65.02977,66.84316,Male
65.67038,69.2989,Male
68.66078,69.09114,Male
66.54597,61.66358,Male
64.85954,65.7288,Male
69.60692,68.98012,Male
64.8135,67.37397,Male
65.32703,67.17459,Male
65.83169,67.06712,Male
65.83427,67.29446,Male
65.56135,67.62665,Male
65.8688,67.47923,Male
65.77339,66.92162,Male
67.09116,67.58324,Male
66.61374,67.21191,Male
67.41075,66.81629,Male
67.27716,67.242679999999993,Male
66.61134,67.51036,Male
68.17412,67.57026,Male
67.80555,67.17258,Male
68.32529,67.54129,Male
68.07787,67.37113,Male
68.96795,67.59714,Male
68.9255,67.25104,Male
69.60862,66.82533,Male
70.35646,66.72679,Male
70.00643,66.92996,Male
72.75425,67.64847,Male
62.82147,68.04291,Male
62.86855,68.4885,Male
63.91261,68.04777,Male
64.54118,68.34573,Male
64.51906,68.33829,Male
66.02688,68.3138,Male
65.81011,68.18333,Male
66.01812,68.51056,Male
65.53742,68.12014,Male
65.73346,68.31563,Male
66.77424,68.04774,Male
66.67869,68.61273,Male
66.97585,67.9425,Male
66.94021,68.08381,Male
66.84575,68.36754,Male
67.12008,67.85181,Male
67.74181,68.19806,Male
68.27194,68.01897,Male
67.60691,68.23431,Male
68.44737,67.89742,Male
67.65832,68.62409,Male
68.71193,67.97912,Male
69.32025,68.2668,Male
68.7403,67.94192,Male
69.13395,68.62072,Male
69.34995,68.23857,Male
68.6297,68.58554,Male
69.58258,68.06568,Male
70.39517,68.38188,Male
71.19284,67.75943,Male
70.82429,68.59991,Male
71.65367,67.91483,Male
73.28133,67.83861,Male
63.03753,68.77562,Male
63.66428,69.60782,Male
65.38311,69.69143,Male
64.60205,69.41491,Male
66.40661,69.68931,Male
65.76985,69.20775,Male
65.66729,69.45627,Male
66.05712,69.59614,Male
66.54635,69.27994,Male
66.5723,69.52338,Male
66.64876,68.74406,Male
67.71899,69.30987,Male
68.48726,69.22571,Male
67.82769,69.24073,Male
67.55801,69.4912,Male
68.07763,69.11921,Male
69.16715,68.93751,Male
68.693,69.45774,Male
68.61779,69.27599,Male
68.64797,69.22869,Male
68.61666,68.70547,Male
70.36485,69.34638,Male
70.0099,68.87137,Male
70.13984,69.30262,Male
70.2073,69.1579,Male
71.28063,69.62727,Male
70.90445,69.11014,Male
72.19036,69.09596,Male
74.96203,69.03281,Male
64.88218,69.85677,Male
65.55174,70.06274,Male
65.65889,69.89765,Male
65.92826,70.26185,Male
65.94198,70.52663,Male
67.43646,70.52744,Male
67.48444,69.7865,Male
67.61344,70.36684,Male
68.4518,69.97604,Male
68.49456,69.83308,Male
68.1056,70.69951,Male
69.48308,70.16871,Male
69.07389,70.11632,Male
69.39251,69.95433,Male
69.44294,70.31279,Male
69.52131,69.80903,Male
70.15463,69.96792,Male
69.86911,69.93939,Male
70.44394,69.73486,Male
70.85393,70.08397,Male
71.30074,70.01015,Male
72.13978,70.65025,Male
72.19045,70.01253,Male
75.43393,70.09077,Male
64.51788,71.34319,Male
66.36335,70.81542,Male
65.56855,71.44929,Male
66.78957,71.18676,Male
66.91193,71.66276,Male
68.1714,71.39516,Male
67.50102,70.73612,Male
67.83492,71.2608,Male
68.95255,71.04721,Male
69.26,71.2592,Male
68.74223,70.89486,Male
69.74288,71.31732,Male
70.29942,71.55712,Male
70.04402,71.17701,Male
70.23559,71.03412,Male
70.88075,71.37275,Male
71.19091,71.64741,Male
72.37396,71.1205,Male
73.03345,70.91756,Male
74.8083,71.66455,Male
67.39521,72.39198,Male
67.31523,71.87928,Male
67.77952,72.34482,Male
69.33827,72.17265,Male
68.72404,72.52078,Male
69.98991,71.98836,Male
69.75383,72.34482,Male
70.65942,72.45347,Male
71.10882,72.26945,Male
72.4811,71.96844,Male
72.4801,72.18169,Male
67.52214,72.7864,Male
68.23931,73.0414,Male
68.7997,72.87858,Male
69.89568,73.17304,Male
71.48641,73.63274,Male
70.76482,72.88245,Male
71.9137,73.18148,Male
63.08399,74.3209,Male
68.23241,74.40727,Male
70.05787,73.76791,Male
70.83996,73.92119,Male
72.56944,73.75503,Male
67.93353,75.56214,Male
67.54033,75.70222,Male
72.79855,77.21338,Male
62.67482,61.28882,Male
68.19196,74.28343,Male
65.07215,70.93102,Male
73.42952,75.34802,Male
62.94125,61.78758,Male
62.53667,64.00009,Male
69.90248,62.4658,Male
71.07217,73.70465,Male
71.11059,66.3495,Male
69.48402,62.20543,Male
70.18338,65.421,Male
65.46124,63.9922,Male
62.04073,62.78458,Male
63.60063,63.52486,Male
65.60613,63.49966,Male
68.02969,62.89658,Male
61.81571,63.72784,Male
63.78886,63.73231,Male
64.89023,64.39579,Male
65.79072,63.70072,Male
66.42371,64.44796,Male
68.80877,64.2795,Male
61.76521,65.18412,Male
64.30302,65.10118,Male
63.69064,65.56277,Male
64.99662,64.94454,Male
65.34899,65.14227,Male
64.81278,65.16843,Male
65.71736,65.58149,Male
66.03148,65.63474,Male
67.04912,64.87191,Male
67.77522,65.4176,Male
69.04964,64.7231,Male
62.1833,65.84559,Male
62.76393,65.77333,Male
63.88391,66.67371,Male
65.41055,66.54726,Male
64.62347,66.43228,Male
65.64621,66.3326,Male
66.16257,66.24935,Male
65.99538,66.39759,Male
65.79786,66.69366,Male
67.42936,66.22114,Male
67.11933,66.43499,Male
67.32907,66.65758,Male
67.86233,65.76873,Male
68.31609,66.20784,Male
67.96359,66.30166,Male
68.68615,65.81894,Male
71.18085,66.34562,Male
62.4296,66.88369,Male
62.88524,66.8162,Male
64.07313,67.36245,Male
63.88597,67.68308,Male
64.8272,67.19885,Male
65.39653,67.26903,Male
64.77344,67.45131,Male
68.66581,68.95907,Male
65.19783,62.013,Male
64.32621,64.10658,Male
66.08278,66.00879,Male
69.01679,65.77796,Male
64.50194,66.94446,Male
66.07654,66.81229,Male
65.73631,67.01431,Male
66.45485,67.43705,Male
65.63018,66.8442,Male
66.39423,67.25391,Male
67.33687,67.52273,Male
66.83938,67.17782,Male
66.69739,67.6068,Male
67.34708,66.8991,Male
67.35319,66.74675,Male
67.93575,67.16928,Male
67.76608,67.23833,Male
68.11569,66.75589,Male
68.2548,66.79828,Male
68.83427,67.488,Male
69.40758,67.1104,Male
69.32068,67.06455,Male
70.48,66.93899,Male
70.06429,67.54723,Male
70.63764,66.85662,Male
62.41134,67.70971,Male
63.15274,67.88296,Male
63.51409,68.66534,Male
63.91446,68.58164,Male
64.61683,68.44493,Male
64.86185,68.41199,Male
65.91332,68.44665,Male
66.1992,68.38258,Male
66.45978,67.92987,Male
65.50286,68.3033,Male
66.87795,67.97479,Male
67.0791,68.18304,Male
66.83256,68.57984,Male
67.18231,68.56974,Male
66.51763,67.81854,Male
66.95295,67.8796,Male
66.63586,68.22794,Male
68.18453,68.01258,Male
67.60565,67.85023,Male
68.27918,67.80077,Male
67.97994,68.59968,Male
69.00094,68.08671,Male
69.31139,67.87656,Male
68.88641,68.47849,Male
68.94824,68.60006,Male
69.42186,68.07838,Male
69.49516,68.08199,Male
70.34647,67.73211,Male
69.92358,68.4132,Male
70.69078,68.59541,Male
70.56571,68.28458,Male
72.40997,68.06489,Male
72.47685,68.41445,Male
62.72118,69.36998,Male
63.9001,69.00435,Male
64.50433,69.37297,Male
64.81813,68.89496,Male
65.37582,69.37382,Male
65.82612,69.34415,Male
66.29436,68.96686,Male
65.81042,69.59887,Male
66.80854,69.24597,Male
67.16724,69.68301,Male
67.30525,68.90541,Male
67.54577,69.07283,Male
67.86855,69.03297,Male
68.35003,69.18202,Male
67.60818,69.64233,Male
68.48397,68.82818,Male
68.56724,69.24165,Male
69.07405,69.10265,Male
68.56831,68.98512,Male
69.15373,69.31551,Male
68.60744,69.20435,Male
68.5443,68.93765,Male
69.65536,69.36661,Male
70.41632,68.71181,Male
69.97528,68.75662,Male
70.26613,69.35439,Male
71.31667,69.42891,Male
71.29178,69.52003,Male
72.59442,69.2275,Male
64.40268,69.95069,Male
64.9127,69.9199,Male
66.34756,69.98123,Male
66.04291,69.74222,Male
65.69477,69.82326,Male
66.71512,69.90223,Male
66.64971,70.2992,Male
68.33241,69.83745,Male
67.94335,69.94847,Male
67.96734,70.27479,Male
68.27657,70.67752,Male
68.75008,70.38903,Male
69.05441,70.37578,Male
69.00755,70.60668,Male
69.39488,70.16921,Male
69.7628,69.85223,Male
69.6464,70.23353,Male
70.45427,70.28373,Male
69.89852,70.33881,Male
70.984,69.81443,Male
71.22015,70.54739,Male
71.45442,69.96746,Male
71.60966,69.73702,Male
73.20296,69.8604,Male
63.89132,70.87111,Male
65.99384,71.36657,Male
66.0424,71.1878,Male
67.47658,70.75001,Male
66.68527,70.72998,Male
68.27034,71.32092,Male
67.72898,70.88794,Male
68.28372,70.9085,Male
68.39453,70.87662,Male
69.12925,71.19803,Male
69.10844,71.31925,Male
69.74196,71.22916,Male
69.9987,71.35939,Male
69.56148,71.60205,Male
69.97779,70.97309,Male
70.88691,71.1886,Male
70.64687,71.40319,Male
72.26404,71.39524,Male
71.50569,70.88752,Male
73.01402,71.27449,Male
66.20254,72.10289,Male
67.26312,72.03197,Male
67.8086,71.9969,Male
69.08284,71.72577,Male
69.351070000000007,71.92914,Male
69.59962,72.20518,Male
70.08948,72.29401,Male
70.18385,72.5854,Male
71.26955,72.04673,Male
72.07717,71.80541,Male
72.33894,71.80464,Male
67.06776,73.06559,Male
67.85929,73.44548,Male
69.07274,73.19223,Male
69.59893,73.37471,Male
69.73728,73.22554,Male
70.54066,72.88357,Male
72.40962,72.77826,Male
72.78889,73.26989,Male
