county,year,month,births,Pop2010
"Baldwin County, AL",2016,January,63,182265
"Baldwin County, AL",2016,February,67,182265
"Baldwin County, AL",2016,March,69,182265
"Baldwin County, AL",2016,April,63,182265
"Baldwin County, AL",2016,May,51,182265
"Baldwin County, AL",2016,June,68,182265
"Baldwin County, AL",2016,July,78,182265
"Baldwin County, AL",2016,August,82,182265
"Baldwin County, AL",2016,September,61,182265
"Baldwin County, AL",2016,October,54,182265
"Baldwin County, AL",2016,November,55,182265
"Baldwin County, AL",2016,December,58,182265
"Baldwin County, AL",2017,January,69,182265
"Baldwin County, AL",2017,February,71,182265
"Baldwin County, AL",2017,March,56,182265
"Baldwin County, AL",2017,April,73,182265
"Baldwin County, AL",2017,May,80,182265
"Baldwin County, AL",2017,June,78,182265
"Baldwin County, AL",2017,July,62,182265
"Baldwin County, AL",2017,August,83,182265
"Baldwin County, AL",2017,September,58,182265
"Baldwin County, AL",2017,October,86,182265
"Baldwin County, AL",2017,November,88,182265
"Baldwin County, AL",2017,December,70,182265
"Baldwin County, AL",2018,January,59,182265
"Baldwin County, AL",2018,February,57,182265
"Baldwin County, AL",2018,March,62,182265
"Baldwin County, AL",2018,April,70,182265
"Baldwin County, AL",2018,May,67,182265
"Baldwin County, AL",2018,June,72,182265
"Baldwin County, AL",2018,July,73,182265
"Baldwin County, AL",2018,August,70,182265
"Baldwin County, AL",2018,September,98,182265
"Baldwin County, AL",2018,October,80,182265
"Baldwin County, AL",2018,November,58,182265
"Baldwin County, AL",2018,December,60,182265
"Baldwin County, AL",2019,January,68,182265
"Baldwin County, AL",2019,February,73,182265
"Baldwin County, AL",2019,March,78,182265
"Baldwin County, AL",2019,April,78,182265
"Baldwin County, AL",2019,May,61,182265
"Baldwin County, AL",2019,June,75,182265
"Baldwin County, AL",2019,July,65,182265
"Baldwin County, AL",2019,August,74,182265
"Baldwin County, AL",2019,September,73,182265
"Baldwin County, AL",2019,October,71,182265
"Baldwin County, AL",2019,November,79,182265
"Baldwin County, AL",2019,December,74,182265
"Calhoun County, AL",2016,January,43,118572
"Calhoun County, AL",2016,February,35,118572
"Calhoun County, AL",2016,March,47,118572
"Calhoun County, AL",2016,April,45,118572
"Calhoun County, AL",2016,May,37,118572
"Calhoun County, AL",2016,June,53,118572
"Calhoun County, AL",2016,July,47,118572
"Calhoun County, AL",2016,August,50,118572
"Calhoun County, AL",2016,September,40,118572
"Calhoun County, AL",2016,October,42,118572
"Calhoun County, AL",2016,November,46,118572
"Calhoun County, AL",2016,December,43,118572
"Calhoun County, AL",2017,January,35,118572
"Calhoun County, AL",2017,February,29,118572
"Calhoun County, AL",2017,March,39,118572
"Calhoun County, AL",2017,April,37,118572
"Calhoun County, AL",2017,May,25,118572
"Calhoun County, AL",2017,June,44,118572
"Calhoun County, AL",2017,July,38,118572
"Calhoun County, AL",2017,August,41,118572
"Calhoun County, AL",2017,September,34,118572
"Calhoun County, AL",2017,October,40,118572
"Calhoun County, AL",2017,November,37,118572
"Calhoun County, AL",2017,December,37,118572
"Calhoun County, AL",2018,January,51,118572
"Calhoun County, AL",2018,February,30,118572
"Calhoun County, AL",2018,March,36,118572
"Calhoun County, AL",2018,April,25,118572
"Calhoun County, AL",2018,May,38,118572
"Calhoun County, AL",2018,June,30,118572
"Calhoun County, AL",2018,July,35,118572
"Calhoun County, AL",2018,August,24,118572
"Calhoun County, AL",2018,September,48,118572
"Calhoun County, AL",2018,October,33,118572
"Calhoun County, AL",2018,November,37,118572
"Calhoun County, AL",2018,December,36,118572
"Calhoun County, AL",2019,January,43,118572
"Calhoun County, AL",2019,February,36,118572
"Calhoun County, AL",2019,March,35,118572
"Calhoun County, AL",2019,April,27,118572
"Calhoun County, AL",2019,May,32,118572
"Calhoun County, AL",2019,June,37,118572
"Calhoun County, AL",2019,July,36,118572
"Calhoun County, AL",2019,August,35,118572
"Calhoun County, AL",2019,September,30,118572
"Calhoun County, AL",2019,October,25,118572
"Calhoun County, AL",2019,November,35,118572
"Calhoun County, AL",2019,December,39,118572
"Etowah County, AL",2016,January,49,104430
"Etowah County, AL",2016,February,44,104430
"Etowah County, AL",2016,March,31,104430
"Etowah County, AL",2016,April,34,104430
"Etowah County, AL",2016,May,33,104430
"Etowah County, AL",2016,June,44,104430
"Etowah County, AL",2016,July,43,104430
"Etowah County, AL",2016,August,24,104430
"Etowah County, AL",2016,September,45,104430
