county,year,month,crashes,pop2010
Anderson,2010,January,138,75129
Anderson,2010,February,113,75129
Anderson,2010,March,169,75129
Anderson,2010,April,169,75129
Anderson,2010,May,155,75129
Anderson,2010,June,152,75129
Anderson,2010,July,165,75129
Anderson,2010,August,176,75129
Anderson,2010,September,178,75129
Anderson,2010,October,169,75129
Anderson,2010,November,179,75129
Anderson,2010,December,152,75129
Bedford,2010,January,71,45058
Bedford,2010,February,72,45058
Bedford,2010,March,77,45058
Bedford,2010,April,70,45058
Bedford,2010,May,87,45058
Bedford,2010,June,99,45058
Bedford,2010,July,90,45058
Bedford,2010,August,91,45058
Bedford,2010,September,86,45058
Bedford,2010,October,118,45058
Bedford,2010,November,105,45058
Bedford,2010,December,95,45058
Benton,2010,January,21,16489
Benton,2010,February,23,16489
Benton,2010,March,27,16489
Benton,2010,April,32,16489
Benton,2010,May,34,16489
Benton,2010,June,29,16489
Benton,2010,July,16,16489
Benton,2010,August,43,16489
Benton,2010,September,31,16489
Benton,2010,October,50,16489
Benton,2010,November,29,16489
Benton,2010,December,36,16489
Bledsoe,2010,January,5,12876
Bledsoe,2010,February,1,12876
Bledsoe,2010,March,3,12876
Bledsoe,2010,April,3,12876
Bledsoe,2010,May,5,12876
Bledsoe,2010,June,1,12876
Bledsoe,2010,July,7,12876
Bledsoe,2010,August,4,12876
Bledsoe,2010,September,3,12876
Bledsoe,2010,October,6,12876
Bledsoe,2010,November,4,12876
Bledsoe,2010,December,3,12876
Blount,2010,January,126,123010
Blount,2010,February,159,123010
Blount,2010,March,171,123010
Blount,2010,April,145,123010
Blount,2010,May,153,123010
Blount,2010,June,139,123010
Blount,2010,July,201,123010
Blount,2010,August,264,123010
Blount,2010,September,338,123010
Blount,2010,October,267,123010
Blount,2010,November,316,123010
Blount,2010,December,269,123010
Bradley,2010,January,201,98963
Bradley,2010,February,197,98963
Bradley,2010,March,203,98963
Bradley,2010,April,241,98963
Bradley,2010,May,253,98963
Bradley,2010,June,226,98963
Bradley,2010,July,216,98963
Bradley,2010,August,186,98963
Bradley,2010,September,179,98963
Bradley,2010,October,264,98963
Bradley,2010,November,240,98963
Bradley,2010,December,251,98963
Campbell,2010,January,93,40716
Campbell,2010,February,84,40716
Campbell,2010,March,81,40716
Campbell,2010,April,91,40716
Campbell,2010,May,76,40716
Campbell,2010,June,107,40716
Campbell,2010,July,119,40716
Campbell,2010,August,76,40716
Campbell,2010,September,103,40716
Campbell,2010,October,95,40716
Campbell,2010,November,79,40716
Campbell,2010,December,87,40716
Cannon,2010,January,29,13801
Cannon,2010,February,23,13801
Cannon,2010,March,24,13801
Cannon,2010,April,18,13801
Cannon,2010,May,29,13801
Cannon,2010,June,27,13801
Cannon,2010,July,27,13801
Cannon,2010,August,14,13801
Cannon,2010,September,29,13801
Cannon,2010,October,15,13801
Cannon,2010,November,21,13801
Cannon,2010,December,28,13801
Carroll,2010,January,38,28522
Carroll,2010,February,39,28522
Carroll,2010,March,39,28522
Carroll,2010,April,36,28522
Carroll,2010,May,53,28522
Carroll,2010,June,29,28522
Carroll,2010,July,34,28522
Carroll,2010,August,38,28522
Carroll,2010,September,40,28522
Carroll,2010,October,48,28522
Carroll,2010,November,52,28522
Carroll,2010,December,53,28522
Carter,2010,January,82,57424
Carter,2010,February,110,57424
Carter,2010,March,104,57424
Carter,2010,April,89,57424
Carter,2010,May,95,57424
Carter,2010,June,113,57424
Carter,2010,July,74,57424
Carter,2010,August,110,57424
Carter,2010,September,108,57424
Carter,2010,October,109,57424
Carter,2010,November,111,57424
