county,year,month,births,Pop2010
"Litchfield County, CT",2016,January,47,189927
"Litchfield County, CT",2016,February,43,189927
"Litchfield County, CT",2016,March,43,189927
"Litchfield County, CT",2016,April,46,189927
"Litchfield County, CT",2016,May,46,189927
"Litchfield County, CT",2016,June,55,189927
"Litchfield County, CT",2016,July,48,189927
"Litchfield County, CT",2016,August,38,189927
"Litchfield County, CT",2016,September,43,189927
"Litchfield County, CT",2016,October,40,189927
"Litchfield County, CT",2016,November,36,189927
"Litchfield County, CT",2016,December,45,189927
"Litchfield County, CT",2017,January,49,189927
"Litchfield County, CT",2017,February,43,189927
"Litchfield County, CT",2017,March,54,189927
"Litchfield County, CT",2017,April,46,189927
"Litchfield County, CT",2017,May,48,189927
"Litchfield County, CT",2017,June,40,189927
"Litchfield County, CT",2017,July,55,189927
"Litchfield County, CT",2017,August,44,189927
"Litchfield County, CT",2017,September,51,189927
"Litchfield County, CT",2017,October,60,189927
"Litchfield County, CT",2017,November,46,189927
"Litchfield County, CT",2017,December,35,189927
"Litchfield County, CT",2018,January,36,189927
"Litchfield County, CT",2018,February,33,189927
"Litchfield County, CT",2018,March,42,189927
"Litchfield County, CT",2018,April,49,189927
"Litchfield County, CT",2018,May,47,189927
"Litchfield County, CT",2018,June,54,189927
"Litchfield County, CT",2018,July,54,189927
"Litchfield County, CT",2018,August,46,189927
"Litchfield County, CT",2018,September,57,189927
"Litchfield County, CT",2018,October,39,189927
"Litchfield County, CT",2018,November,59,189927
"Litchfield County, CT",2018,December,30,189927
"Litchfield County, CT",2019,January,34,189927
"Litchfield County, CT",2019,February,43,189927
"Litchfield County, CT",2019,March,40,189927
"Litchfield County, CT",2019,April,42,189927
"Litchfield County, CT",2019,May,42,189927
"Litchfield County, CT",2019,June,50,189927
"Litchfield County, CT",2019,July,43,189927
"Litchfield County, CT",2019,August,55,189927
"Litchfield County, CT",2019,September,43,189927
"Litchfield County, CT",2019,October,42,189927
"Litchfield County, CT",2019,November,43,189927
"Litchfield County, CT",2019,December,42,189927
"Middlesex County, CT",2016,January,46,165676
"Middlesex County, CT",2016,February,41,165676
"Middlesex County, CT",2016,March,36,165676
"Middlesex County, CT",2016,April,43,165676
"Middlesex County, CT",2016,May,52,165676
"Middlesex County, CT",2016,June,34,165676
"Middlesex County, CT",2016,July,46,165676
"Middlesex County, CT",2016,August,51,165676
"Middlesex County, CT",2016,September,43,165676
"Middlesex County, CT",2016,October,46,165676
"Middlesex County, CT",2016,November,47,165676
"Middlesex County, CT",2016,December,35,165676
"Middlesex County, CT",2017,January,35,165676
"Middlesex County, CT",2017,February,30,165676
"Middlesex County, CT",2017,March,34,165676
"Middlesex County, CT",2017,April,45,165676
"Middlesex County, CT",2017,May,43,165676
"Middlesex County, CT",2017,June,56,165676
"Middlesex County, CT",2017,July,56,165676
"Middlesex County, CT",2017,August,29,165676
"Middlesex County, CT",2017,September,48,165676
"Middlesex County, CT",2017,October,45,165676
"Middlesex County, CT",2017,November,46,165676
"Middlesex County, CT",2017,December,36,165676
"Middlesex County, CT",2018,January,33,165676
"Middlesex County, CT",2018,February,34,165676
"Middlesex County, CT",2018,March,44,165676
"Middlesex County, CT",2018,April,35,165676
"Middlesex County, CT",2018,May,43,165676
"Middlesex County, CT",2018,June,45,165676
"Middlesex County, CT",2018,July,37,165676
"Middlesex County, CT",2018,August,45,165676
"Middlesex County, CT",2018,September,38,165676
"Middlesex County, CT",2018,October,40,165676
"Middlesex County, CT",2018,November,41,165676
"Middlesex County, CT",2018,December,40,165676
"Middlesex County, CT",2019,January,37,165676
"Middlesex County, CT",2019,February,46,165676
"Middlesex County, CT",2019,March,31,165676
"Middlesex County, CT",2019,April,41,165676
"Middlesex County, CT",2019,May,43,165676
"Middlesex County, CT",2019,June,36,165676
"Middlesex County, CT",2019,July,45,165676
"Middlesex County, CT",2019,August,46,165676
"Middlesex County, CT",2019,September,43,165676
"Middlesex County, CT",2019,October,42,165676
"Middlesex County, CT",2019,November,42,165676
"Middlesex County, CT",2019,December,37,165676
